gebied;permalink;imgurl;;;
Q2052566;https://haagsgemeentearchief.nl/mediabank/beeldcollectie/detail/c4e15913-a138-4b95-a72b-01a867cb3f0b/media/ee251587-0a40-aa84-fcda-fd1080ac3b52;https://images.memorix.nl/hga/thumb/500x500/ee251587-0a40-aa84-fcda-fd1080ac3b52.jpg;;;
Q2052566;https://haagsgemeentearchief.nl/mediabank/beeldcollectie/detail/e24559eb-f89e-4c36-b47a-e39c96991eee/media/21bfd15c-6d25-4265-b4d3-4298236c5c4b;https://images.memorix.nl/hga/thumb/500x500/21bfd15c-6d25-4265-b4d3-4298236c5c4b.jpg;;;
Q2052566;https://haagsgemeentearchief.nl/mediabank/beeldcollectie/detail/9ed85859-88cd-408f-a5cf-0112ae42cc8b/media/46e8421c-8d3f-44ed-8d0a-cb120d067c64;https://images.memorix.nl/hga/thumb/500x500/46e8421c-8d3f-44ed-8d0a-cb120d067c64.jpg;;;
Q2052566;https://haagsgemeentearchief.nl/mediabank/beeldcollectie/detail/e8c9e2d6-02de-43a5-9bf6-a1c5cc88022c/media/7380f498-3a44-472b-854c-07aea9a898ce;https://images.memorix.nl/hga/thumb/500x500/7380f498-3a44-472b-854c-07aea9a898ce.jpg;;;
Q2278595;https://hdl.handle.net/21.12102/0893DFFE22A9B46A372740F5226631D1;https://images.memorix.nl/ranh/thumb/mediabank-horizontal/e882b8d1-5446-2405-3825-b81951255ad6.jpg;;;
Q2278595;https://hdl.handle.net/21.12102/E8C1D64AFB8E11DF9E4D523BC2E286E2;https://images.memorix.nl/ranh/thumb/mediabank-horizontal/bd9548dc-34d9-18cd-4ebb-54fa5125df0a.jpg;;;
Q2278595;https://hdl.handle.net/21.12102/42530BCAFB8F11DF9E4D523BC2E286E2;https://images.memorix.nl/ranh/thumb/mediabank-horizontal/6ee490f8-a777-2d72-3ae8-b089fd268e7d.jpg;;;
Q2278595;https://hdl.handle.net/21.12102/424FB380FB8F11DF9E4D523BC2E286E2;https://images.memorix.nl/ranh/thumb/mediabank-horizontal/44c879f6-2e7d-3b00-039b-94cbec0a5b21.jpg;;;
Q2278595;https://hdl.handle.net/21.12102/60642B3AFB8F11DF9E4D523BC2E286E2;https://images.memorix.nl/ranh/thumb/mediabank-horizontal/c50dd3c6-56a3-0b15-0163-3fa6e899cce8.jpg;;;
Q2278595;https://hdl.handle.net/21.12102/41802CFAFB8F11DF9E4D523BC2E286E2;https://images.memorix.nl/ranh/thumb/mediabank-horizontal/2eb29c89-8cff-dfd7-a5bf-7b2dac5fb64f.jpg;;;
